模仿游戏,2014,8.8,592062
喜宴,1993,9.0,324102
七武士,1954,9.3,180110
花样年华,2000,8.7,547835
黑客帝国3：矩阵革命,2003,8.8,415342
头脑特工队,2015,8.8,557962
电锯惊魂,2004,8.7,486696
三块广告牌,2017,8.7,764517
达拉斯买家俱乐部,2013,8.8,420523
卢旺达饭店,2004,8.9,301557
你的名字。,2016,8.5,1281006
九品芝麻官,1994,8.7,601722
疯狂原始人,2013,8.7,782816
上帝之城,2002,9.0,281580
谍影重重3,2007,8.8,389466
惊魂记,1960,9.0,256302
风之谷,1984,8.9,333444
心迷宫,2014,8.7,473209
英雄本色,1986,8.6,490677
纵横四海,1991,8.8,387251
海街日记,2015,8.8,408121
岁月神偷,2010,8.7,545172
记忆碎片,2000,8.7,561390
忠犬八公物语,1987,9.2,178030
爱在午夜降临前,2013,8.9,356046
荒蛮故事,2014,8.8,407817
绿里奇迹,1999,8.9,295123
色，戒,2007,8.6,694299
爆裂鼓手,2014,8.7,534521
小偷家族,2018,8.7,762222
贫民窟的百万富翁,2008,8.6,699266
无敌破坏王,2012,8.7,494056
东邪西毒,1994,8.6,537807
真爱至上,2003,8.6,677832
疯狂的石头,2006,8.5,751995
茶馆,1982(中国大陆),9.5,108619
冰川时代,2002,8.6,569518
雨中曲,1952,9.1,200157
你看起来好像很好吃,2010,8.9,309427
恐怖游轮,2009,8.5,775854
黑天鹅,2010,8.6,740472
2001太空漫游,1968,8.9,287121
魔女宅急便,1989,8.7,422191
雨人,1988,8.7,376825
恋恋笔记本,2004,8.6,618354
遗愿清单,2007,8.7,405362
无间道2,2003,8.7,422728
牯岭街少年杀人事件,1991,8.9,262127
大佛普拉斯,2017,8.7,406610
可可西里,2004,8.9,278190
城市之光,1931,9.3,131206
背靠背，脸对脸,1994,9.5,107505
萤火虫之墓,1988,8.7,383292
小丑,2019,8.7,928303
源代码,2011,8.5,777879
东京教父,2003,9.0,193045
虎口脱险,1966,8.9,232609
初恋这件小事,2010,8.5,927135
人工智能,2001,8.7,409982
海边的曼彻斯特,2016,8.6,467200
罗生门,1950,8.8,288382
终结者2：审判日,1991,8.8,316047
青蛇,1993,8.6,482311
波西米亚狂想曲,2018,8.6,551981
二十二,2015,8.7,275822
奇迹男孩,2017,8.6,518522
疯狂的麦克斯4：狂暴之路,2015,8.6,485603
新龙门客栈,1992,8.7,407872
房间,2015,8.8,349462
心灵奇旅,2020,8.7,877837
无耻混蛋,2009,8.6,437410
血钻,2006,8.7,349045
千钧一发,1997,8.8,264297
魂断蓝桥,1940,8.8,256487
步履不停,2008,8.8,255999
黑客帝国2：重装上阵,2003,8.7,376108
